공연명,공연장소,공연시작일,공연종료일,위도,경도,주소,이미지,예매링크
"Daoko THE ""YOU"" ZIZAI ASIA TOUR 2025 in Seoul",스페이스브릭,2025-09-20,2025-09-20,37.55120437,126.9196967,서울 마포구 서교동 395-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010418_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010418
Dear. August (D82 단독콘서트),스페이스브릭,2025-08-23,2025-08-23,37.55120437,126.9196967,서울 마포구 서교동 395-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010369_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010369
DEPAPEKO 내한공연,스카이아트홀,2025-08-08,2025-08-08,37.5579769,126.8493986,서울 강서구 등촌동 659,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007840_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007840
Elijah Woods: Give Me The Sunlight in Seoul,무신사 개러지,2025-08-14,2025-08-14,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25001900_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25001900
Flight: 원위 (ONEWE) 편 - 서울,신한카드 SOL페이 스퀘어 라이브홀,2025-08-30,2025-08-31,37.55112586,126.9143961,서울 마포구 서교동 490,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009929_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009929
Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,올림픽공원 올림픽홀,2025-09-13,2025-09-14,37.51474166,127.1275325,서울 송파구 방이동 88,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008238_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008238
HIGH ACE TOUR 2025 FINAL!! in KOREA,홍대 BENDER,2025-08-09,2025-08-09,37.55006164,126.9233724,서울 마포구 상수동 86-35,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007430_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007430
KOKOON SHOW,K-POP STAGE,2025-07-12,2025-07-31,37.55221352,126.92244,서울 마포구 서교동 364-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009500_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009500
Minami Earthtication2025 in Seoul,예스24 라이브홀,2025-09-12,2025-09-12,37.54573487,127.1079715,서울 광진구 광장동 319-33,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008862_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008862
MOEUN 내한 공연 - 서울,푸르지오 아트홀,2025-08-22,2025-08-22,37.56613954,126.9973287,서울 중구 을지로4가 323,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008169_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008169
