보관함역,위도,경도,주소,상세위치
상일동역,37.55667788,127.1659058,서울 강동구 상일동 148,"상일동역 B1층 3,4,5,6번 출구 방면"
둔촌동역,37.52765684,127.1362146,서울 강동구 둔촌동 416,둔촌동역 B1층 편의점(7-ELEVEN) 주변
올림픽공원역,37.51633899,127.1309637,서울 송파구 방이동 89-28,"1,2번 출구 주변 지하 1층"
방이역,37.50875063,127.126096,서울 송파구 방이동 217-2,방이역 B1층 1번 출구 방면 (판매기실 옆)
개롱역,37.49796828,127.1350796,서울 송파구 가락동 165-2,"개롱역 B1층 1, 4번 출구 방면"
거여역,37.49333045,127.1437738,서울 송파구 거여동 20-14,거여역 B2층  2번 출구 방면 (창고 옆)
마천역,37.49503816,127.1528599,서울 송파구 마천동 307-4,마천역 B1층 만남의 광장 주변(1번출구 근처)
응암역,37.59849286,126.9155399,서울 은평구 신사동 22-15,"응암역 중층 1, 2번 출구 방면"
역촌역,37.60622746,126.9228437,서울 은평구 녹번동 153-31,역촌역 B1층 3번 출구 방면
불광역,37.6100478,126.9303158,서울 은평구 대조동 13-10,불광역 중층 9번 출구 방면 (3호선 연결통로)
독바위역,37.61841416,126.9330537,서울 은평구 불광동 13-33,독바위역 B3층 고객상담실 주변
구산역,37.61124669,126.9172595,서울 은평구 구산동 1,구산역 B1층 3번 출구 방면
새절역,37.59086005,126.9135807,서울 은평구 신사동 337-5,새절역 B1층 4번 출구 방면
증산역,37.58374635,126.909495,서울 은평구 증산동 199-8,"증산역 B1층 3,4번 출구 방면 "
디지털미디어시티역,37.57601375,126.9012778,서울 은평구 증산동 223-25,"디지털미디어시티역 B1층 1, 5번 출구 방면 (통로)"
월드컵경기장역,37.56963557,126.8990981,서울 마포구 성산동 420,월드컵경기장역 B1층 2번 출구 방면 (화장실 주변)
마포구청역,37.56348719,126.9034256,서울 마포구 성산동 592,"마포구청역 B2층 1,2,8번출구 방면(화장실 주변)"
망원역,37.55608266,126.9100943,서울 마포구 망원동 378,망원역 B1층 1번 출구 방면 (화장실 주변)
합정역,37.54991316,126.9144541,서울 마포구 서교동 393,"합정역 B1층 5, 6번 출구 방면 (즉석사진기 주변)"
상수역,37.54776618,126.9224299,서울 마포구 상수동 309-10,상수역 B2층 게이트 주변 (휴게공간)
광흥창역,37.54748648,126.9320297,서울 마포구 창전동 145-17,"광흥창역 B1층 1, 2번 출구 방면 (만남의 광장)"
대흥역,37.54764791,126.9424732,서울 마포구 대흥동 128-1,대흥역 B2층 만남의 광장 주변
공덕역,37.54454169,126.9514512,서울 마포구 공덕동 423-29,"공덕역 B1층 6, 7번 출구 방면 공덕역"
효창공원앞역,37.53930875,126.9613981,서울 용산구 효창동 80,효창공원앞역 B1층 1번 출구 방면 
